month,distinction,data_type,count
2007-01,ability,comments,195
2007-02,ability,comments,187
2007-03,ability,comments,257
2007-04,ability,comments,228
2007-05,ability,comments,394
2007-06,ability,comments,373
2007-07,ability,comments,371
2007-08,ability,comments,388
2007-09,ability,comments,406
2007-10,ability,comments,524
2007-11,ability,comments,591
2007-12,ability,comments,744
2008-01,ability,comments,624
2008-02,ability,comments,719
2008-03,ability,comments,754
2008-04,ability,comments,760
2008-05,ability,comments,939
2008-06,ability,comments,978
2008-07,ability,comments,1079
2008-08,ability,comments,1018
2008-09,ability,comments,1172
2008-10,ability,comments,1351
2008-11,ability,comments,1231
2008-12,ability,comments,1460
2009-01,ability,comments,1734
2009-02,ability,comments,1749
2009-03,ability,comments,2102
2009-04,ability,comments,2109
2009-05,ability,comments,2375
2009-06,ability,comments,2700
2009-07,ability,comments,2959
2009-08,ability,comments,4243
2009-09,ability,comments,4291
2009-10,ability,comments,5515
2009-11,ability,comments,4445
2009-12,ability,comments,4527
2010-01,ability,comments,5048
2010-02,ability,comments,5540
2010-03,ability,comments,6333
2010-04,ability,comments,6351
2010-05,ability,comments,6307
2010-06,ability,comments,6283
2010-07,ability,comments,8004
2010-08,ability,comments,8070
2010-09,ability,comments,8901
2010-10,ability,comments,9524
2010-11,ability,comments,10196
2010-12,ability,comments,10714
2011-01,ability,comments,12099
2011-02,ability,comments,11388
2011-03,ability,comments,13422
2011-04,ability,comments,13150
2011-05,ability,comments,15209
2011-06,ability,comments,16400
2011-07,ability,comments,16471
2011-08,ability,comments,18026
2011-09,ability,comments,18416
2011-10,ability,comments,21260
2011-11,ability,comments,20931
2011-12,ability,comments,21590
2012-01,ability,comments,25377
2012-02,ability,comments,25001
2012-03,ability,comments,28254
2012-04,ability,comments,31381
2012-05,ability,comments,33674
2012-06,ability,comments,33206
2012-07,ability,comments,52606
2012-08,ability,comments,55887
2012-09,ability,comments,45012
2012-10,ability,comments,37175
2012-11,ability,comments,36543
2012-12,ability,comments,38214
2013-01,ability,comments,43240
2013-02,ability,comments,39833
2013-03,ability,comments,46078
2013-04,ability,comments,47683
2013-05,ability,comments,48975
2013-06,ability,comments,45453
2013-07,ability,comments,51564
2013-08,ability,comments,50905
2013-09,ability,comments,46664
2013-10,ability,comments,51167
2013-11,ability,comments,47757
2013-12,ability,comments,52750
2014-01,ability,comments,56887
2014-02,ability,comments,50476
2014-03,ability,comments,58544
2014-04,ability,comments,56809
2014-05,ability,comments,58506
2014-06,ability,comments,55208
2014-07,ability,comments,59925
2014-08,ability,comments,58479
2014-09,ability,comments,57213
2014-10,ability,comments,59313
2014-11,ability,comments,55542
2014-12,ability,comments,57828
2015-01,ability,comments,68231
2015-02,ability,comments,65436
2015-03,ability,comments,70598
2015-04,ability,comments,71412
2015-05,ability,comments,71905
2015-06,ability,comments,69263
2015-07,ability,comments,76624
2015-08,ability,comments,72360
2015-09,ability,comments,72586
2015-10,ability,comments,73220
2015-11,ability,comments,68284
2015-12,ability,comments,72720
2016-01,ability,comments,76660
2016-02,ability,comments,73634
2016-03,ability,comments,80051
2016-04,ability,comments,77072
2016-05,ability,comments,82639
2016-06,ability,comments,77880
2016-07,ability,comments,77527
2016-08,ability,comments,86581
2016-09,ability,comments,82421
2016-10,ability,comments,80281
2016-11,ability,comments,77807
2016-12,ability,comments,87002
2017-01,ability,comments,106492
2017-02,ability,comments,86283
2017-03,ability,comments,97528
2017-04,ability,comments,92061
2017-05,ability,comments,105597
2017-06,ability,comments,99146
2017-07,ability,comments,106601
2017-08,ability,comments,104307
2017-09,ability,comments,104739
2017-10,ability,comments,98026
2017-11,ability,comments,97204
2017-12,ability,comments,103307
2018-01,ability,comments,108187
2018-02,ability,comments,107925
2018-03,ability,comments,116479
2018-04,ability,comments,123175
2018-05,ability,comments,126343
2018-06,ability,comments,124490
2018-07,ability,comments,127941
2018-08,ability,comments,127908
2018-09,ability,comments,122876
2018-10,ability,comments,133626
2018-11,ability,comments,132599
2018-12,ability,comments,142565
2019-01,ability,comments,158189
2019-02,ability,comments,148456
2019-03,ability,comments,169836
2019-04,ability,comments,163109
2019-05,ability,comments,167341
2019-06,ability,comments,159003
2019-07,ability,comments,169560
2019-08,ability,comments,167455
2019-09,ability,comments,163485
2019-10,ability,comments,165858
2019-11,ability,comments,159114
2019-12,ability,comments,167979
2020-01,ability,comments,178559
2020-02,ability,comments,185897
2020-03,ability,comments,187681
2020-04,ability,comments,183175
2020-05,ability,comments,202852
2020-06,ability,comments,201542
2020-07,ability,comments,224009
2020-08,ability,comments,220220
2020-09,ability,comments,200721
2020-10,ability,comments,202628
2020-11,ability,comments,190355
2020-12,ability,comments,208815
2021-01,ability,comments,212136
2021-02,ability,comments,199834
2021-03,ability,comments,223026
2021-04,ability,comments,217891
2021-05,ability,comments,219326
2021-06,ability,comments,214312
2021-07,ability,comments,222116
2021-08,ability,comments,246150
2021-09,ability,comments,233519
2021-10,ability,comments,238290
2021-11,ability,comments,238661
2021-12,ability,comments,255627
2022-01,ability,comments,284768
2022-02,ability,comments,239757
2022-03,ability,comments,270418
2022-04,ability,comments,219561
2022-05,ability,comments,212735
2022-06,ability,comments,205415
2022-07,ability,comments,220180
2022-08,ability,comments,222058
2022-09,ability,comments,207239
2022-10,ability,comments,211192
2022-11,ability,comments,209179
2022-12,ability,comments,208989
2023-01,ability,comments,234572
2023-02,ability,comments,227441
2023-03,ability,comments,224874
2023-04,ability,comments,213900
2023-05,ability,comments,226316
2023-06,ability,comments,243474
2023-07,ability,comments,267948
2023-08,ability,comments,280051
2023-09,ability,comments,272702
2023-10,ability,comments,280535
2023-11,ability,comments,260494
2023-12,ability,comments,264076
2007-01,ability,submissions,18
2007-02,ability,submissions,46
2007-03,ability,submissions,43
2007-04,ability,submissions,32
2007-05,ability,submissions,49
2007-06,ability,submissions,45
2007-07,ability,submissions,61
2007-08,ability,submissions,49
2007-09,ability,submissions,43
2007-10,ability,submissions,84
2007-11,ability,submissions,64
2007-12,ability,submissions,85
2008-01,ability,submissions,106
2008-02,ability,submissions,97
2008-03,ability,submissions,104
2008-04,ability,submissions,135
2008-05,ability,submissions,182
2008-06,ability,submissions,127
2008-07,ability,submissions,158
2008-08,ability,submissions,160
2008-09,ability,submissions,189
2008-10,ability,submissions,182
2008-11,ability,submissions,162
2008-12,ability,submissions,211
2009-01,ability,submissions,179
2009-02,ability,submissions,195
2009-03,ability,submissions,266
2009-04,ability,submissions,298
2009-05,ability,submissions,260
2009-06,ability,submissions,305
2009-07,ability,submissions,401
2009-08,ability,submissions,498
2009-09,ability,submissions,527
2009-10,ability,submissions,543
2009-11,ability,submissions,452
2009-12,ability,submissions,504
2010-01,ability,submissions,519
2010-02,ability,submissions,513
2010-03,ability,submissions,700
2010-04,ability,submissions,712
2010-05,ability,submissions,589
2010-06,ability,submissions,591
2010-07,ability,submissions,690
2010-08,ability,submissions,724
2010-09,ability,submissions,962
2010-10,ability,submissions,1011
2010-11,ability,submissions,1131
2010-12,ability,submissions,1100
2011-01,ability,submissions,1855
2011-02,ability,submissions,1717
2011-03,ability,submissions,2070
2011-04,ability,submissions,1926
2011-05,ability,submissions,2180
2011-06,ability,submissions,2324
2011-07,ability,submissions,2417
2011-08,ability,submissions,2900
2011-09,ability,submissions,2981
2011-10,ability,submissions,3324
2011-11,ability,submissions,3520
2011-12,ability,submissions,3562
2012-01,ability,submissions,4132
2012-02,ability,submissions,4230
2012-03,ability,submissions,4621
2012-04,ability,submissions,5024
2012-05,ability,submissions,5673
2012-06,ability,submissions,5643
2012-07,ability,submissions,6005
2012-08,ability,submissions,6502
2012-09,ability,submissions,5946
2012-10,ability,submissions,5935
2012-11,ability,submissions,5600
2012-12,ability,submissions,5834
2013-01,ability,submissions,6721
2013-02,ability,submissions,6067
2013-03,ability,submissions,6792
2013-04,ability,submissions,7588
2013-05,ability,submissions,7178
2013-06,ability,submissions,6811
2013-07,ability,submissions,7537
2013-08,ability,submissions,7459
2013-09,ability,submissions,6975
2013-10,ability,submissions,7482
2013-11,ability,submissions,7413
2013-12,ability,submissions,8105
2014-01,ability,submissions,9049
2014-02,ability,submissions,8410
2014-03,ability,submissions,9117
2014-04,ability,submissions,9257
2014-05,ability,submissions,9369
2014-06,ability,submissions,9298
2014-07,ability,submissions,10525
2014-08,ability,submissions,10365
2014-09,ability,submissions,9983
2014-10,ability,submissions,10716
2014-11,ability,submissions,10499
2014-12,ability,submissions,11510
2015-01,ability,submissions,13052
2015-02,ability,submissions,11406
2015-03,ability,submissions,13322
2015-04,ability,submissions,13106
2015-05,ability,submissions,15453
2015-06,ability,submissions,28089
2015-07,ability,submissions,13938
2015-08,ability,submissions,13111
2015-09,ability,submissions,11549
2015-10,ability,submissions,11794
2015-11,ability,submissions,11648
2015-12,ability,submissions,11740
2016-01,ability,submissions,12377
2016-02,ability,submissions,12175
2016-03,ability,submissions,12725
2016-04,ability,submissions,12797
2016-05,ability,submissions,13125
2016-06,ability,submissions,12865
2016-07,ability,submissions,12953
2016-08,ability,submissions,14801
2016-09,ability,submissions,14502
2016-10,ability,submissions,14167
2016-11,ability,submissions,13560
2016-12,ability,submissions,15354
2017-01,ability,submissions,16662
2017-02,ability,submissions,14548
2017-03,ability,submissions,16437
2017-04,ability,submissions,15752
2017-05,ability,submissions,17156
2017-06,ability,submissions,15897
2017-07,ability,submissions,16951
2017-08,ability,submissions,17586
2017-09,ability,submissions,17608
2017-10,ability,submissions,17683
2017-11,ability,submissions,16840
2017-12,ability,submissions,17702
2018-01,ability,submissions,18651
